,dateRep,day,month,year,cases,deaths,countriesAndTerritories,geoId,countryterritoryCode,popData2018,Date,Lockdown,Public Health Measures,Governance and socio-economic measures,Humanitarian exemption,Social distancing,Movement restrictions
0,31/12/2019,31,12,2019,0,0,Italy,IT,ITA,60431283.0,2019-12-31,0.0,0.0,0.0,0.0,0.0,0.0
1,01/01/2020,1,1,2020,0,0,Italy,IT,ITA,60431283.0,2020-01-01,0.0,0.0,0.0,0.0,0.0,0.0
2,02/01/2020,2,1,2020,0,0,Italy,IT,ITA,60431283.0,2020-01-02,0.0,0.0,0.0,0.0,0.0,0.0
3,03/01/2020,3,1,2020,0,0,Italy,IT,ITA,60431283.0,2020-01-03,0.0,0.0,0.0,0.0,0.0,0.0
4,04/01/2020,4,1,2020,0,0,Italy,IT,ITA,60431283.0,2020-01-04,0.0,0.0,0.0,0.0,0.0,0.0
5,05/01/2020,5,1,2020,0,0,Italy,IT,ITA,60431283.0,2020-01-05,0.0,0.0,0.0,0.0,0.0,0.0
6,06/01/2020,6,1,2020,0,0,Italy,IT,ITA,60431283.0,2020-01-06,0.0,0.0,0.0,0.0,0.0,0.0
7,07/01/2020,7,1,2020,0,0,Italy,IT,ITA,60431283.0,2020-01-07,0.0,0.0,0.0,0.0,0.0,0.0
8,08/01/2020,8,1,2020,0,0,Italy,IT,ITA,60431283.0,2020-01-08,0.0,0.0,0.0,0.0,0.0,0.0
9,09/01/2020,9,1,2020,0,0,Italy,IT,ITA,60431283.0,2020-01-09,0.0,0.0,0.0,0.0,0.0,0.0
10,10/01/2020,10,1,2020,0,0,Italy,IT,ITA,60431283.0,2020-01-10,0.0,0.0,0.0,0.0,0.0,0.0
11,11/01/2020,11,1,2020,0,0,Italy,IT,ITA,60431283.0,2020-01-11,0.0,0.0,0.0,0.0,0.0,0.0
12,12/01/2020,12,1,2020,0,0,Italy,IT,ITA,60431283.0,2020-01-12,0.0,0.0,0.0,0.0,0.0,0.0
13,13/01/2020,13,1,2020,0,0,Italy,IT,ITA,60431283.0,2020-01-13,0.0,0.0,0.0,0.0,0.0,0.0
14,14/01/2020,14,1,2020,0,0,Italy,IT,ITA,60431283.0,2020-01-14,0.0,0.0,0.0,0.0,0.0,0.0
15,15/01/2020,15,1,2020,0,0,Italy,IT,ITA,60431283.0,2020-01-15,0.0,0.0,0.0,0.0,0.0,0.0
16,16/01/2020,16,1,2020,0,0,Italy,IT,ITA,60431283.0,2020-01-16,0.0,0.0,0.0,0.0,0.0,0.0
17,17/01/2020,17,1,2020,0,0,Italy,IT,ITA,60431283.0,2020-01-17,0.0,0.0,0.0,0.0,0.0,0.0
18,18/01/2020,18,1,2020,0,0,Italy,IT,ITA,60431283.0,2020-01-18,0.0,0.0,0.0,0.0,0.0,0.0
